content,middle
中国的也快交付了吧？,good
[赞啊][赞啊],good
我觉得我肯定能开上跑车，那一定是在做梦的时候[酷],middle
[心][心][心][心][心][心]本博有万余张地摊历史老照片，以及后面的小故事，感兴趣的朋友敬请关注。[鲜花][鲜花][鲜花][鲜花][鲜花][鲜花][鲜花],good
现在大陆官员什么样子？台湾官员又什么样子？,good
中正，太正直了。,good
雷锋还戴瑞士手表呢,good
那又如何，现在打个起诉状都不让打印了，,bad
有啥好比，老蒋走的是资本主义，眼里只有利益,good
今天的劳力士又是谁？[允悲][允悲][允悲],good
都是开始装，得了天下，比谁要的都多,middle
赵德汉有那么多钱也只吃面不花[doge]搞传销谁不会,good
真正的抗日英雄，和打嘴炮的可不一样,good
蒋介石太君子了，在中国只是个小人当道,good
说明那时候穷呗。,middle
真正的抗日英雄,good
现在村长都不止劳力士了,bad
你们的领导，大着肚子在办公室吹空调[doge][doge][doge],bad
看了看评论区，老百姓不好骗了啊[泪][泪][泪],good
老蒋和宋美龄都快把中国卖没了,good
目测又要有人出来说，历史是胜利者写的[doge],good
吃熊掌的时候你没看到,bad
为啥人总是制裁咱们呢,bad
真会给华为贴金，华为或许技术还可以，但是价格对不起民族品牌这四个字,good
又是自我感动自我高潮的一天[哈欠],good
中兴通讯字体为啥是红的呢？,bad
可耻的联想,middle
@联想中国 叛逆者,good
成天yy 全世界都是敌人[允悲],good
这自嗨的….,bad
比亚迪这种是伪中国，开曼群岛的公司不要放在我们这边,good
歌尔股份都能上去[doge] 那欧菲光上去算了,good
卧槽，联想这是真臭了,bad
捷荣也算，呵呵呵,good
请问，熊猫是什么东西的品牌,bad
华为很好，但是跟我关系不大,good
那你用iPhone手机是不是属于上面的崇洋者？,good
你错了，业内真能扛一下的可能还就菊厂[偷笑],bad
这联想，怎么会站在那个位置？,good
华为，怎么说呢，,bad
这个图片搞得好,bad
